COD_MUN_IBGE,NOME_CANDIDATO,QTDE_VOTOS
2909307,DILMA VANA ROUSSEFF,10984
2909406,DILMA VANA ROUSSEFF,5173
2909505,DILMA VANA ROUSSEFF,2180
2909604,DILMA VANA ROUSSEFF,7943
2909703,DILMA VANA ROUSSEFF,6259
2909802,DILMA VANA ROUSSEFF,18625
2909901,DILMA VANA ROUSSEFF,12963
2910008,DILMA VANA ROUSSEFF,3917
2910057,DILMA VANA ROUSSEFF,22029
2910107,DILMA VANA ROUSSEFF,5106
2910206,DILMA VANA ROUSSEFF,1889
2910305,DILMA VANA ROUSSEFF,3067
2910404,DILMA VANA ROUSSEFF,6324
2910503,DILMA VANA ROUSSEFF,13021
2910602,DILMA VANA ROUSSEFF,10310
2910701,DILMA VANA ROUSSEFF,20896
2910727,DILMA VANA ROUSSEFF,23291
2910750,DILMA VANA ROUSSEFF,7032
2910776,DILMA VANA ROUSSEFF,2007
2910800,DILMA VANA ROUSSEFF,158577
2910859,DILMA VANA ROUSSEFF,5693
2910909,DILMA VANA ROUSSEFF,1663
2911006,DILMA VANA ROUSSEFF,3230
2911105,DILMA VANA ROUSSEFF,7171
2911204,DILMA VANA ROUSSEFF,8000
2911253,DILMA VANA ROUSSEFF,1682
2911303,DILMA VANA ROUSSEFF,4657
2911402,DILMA VANA ROUSSEFF,7187
2911501,DILMA VANA ROUSSEFF,2336
2911600,DILMA VANA ROUSSEFF,8148
2911659,DILMA VANA ROUSSEFF,3529
2911709,DILMA VANA ROUSSEFF,25508
2911808,DILMA VANA ROUSSEFF,7553
2911857,DILMA VANA ROUSSEFF,5342
2911907,DILMA VANA ROUSSEFF,9295
2912004,DILMA VANA ROUSSEFF,3605
2912103,DILMA VANA ROUSSEFF,6552
2912202,DILMA VANA ROUSSEFF,5172
2912301,DILMA VANA ROUSSEFF,4972
2912400,DILMA VANA ROUSSEFF,7370
2912509,DILMA VANA ROUSSEFF,5560
2912608,DILMA VANA ROUSSEFF,1834
2912707,DILMA VANA ROUSSEFF,6042
2912806,DILMA VANA ROUSSEFF,2507
2912905,DILMA VANA ROUSSEFF,6316
2913002,DILMA VANA ROUSSEFF,6037
2913101,DILMA VANA ROUSSEFF,7951
2913200,DILMA VANA ROUSSEFF,8892
2913309,DILMA VANA ROUSSEFF,2622
2913408,DILMA VANA ROUSSEFF,5930
2913457,DILMA VANA ROUSSEFF,4077
2913507,DILMA VANA ROUSSEFF,8711
2913606,DILMA VANA ROUSSEFF,54528
2913705,DILMA VANA ROUSSEFF,12767
2913804,DILMA VANA ROUSSEFF,5976
2913903,DILMA VANA ROUSSEFF,15115
2914000,DILMA VANA ROUSSEFF,20365
2914109,DILMA VANA ROUSSEFF,3473
2914208,DILMA VANA ROUSSEFF,2910
2914307,DILMA VANA ROUSSEFF,4247
2914406,DILMA VANA ROUSSEFF,8942
2914505,DILMA VANA ROUSSEFF,10832
2914604,DILMA VANA ROUSSEFF,19831
2914653,DILMA VANA ROUSSEFF,7562
2914703,DILMA VANA ROUSSEFF,19087
2914802,DILMA VANA ROUSSEFF,52855
2914901,DILMA VANA ROUSSEFF,5900
2915007,DILMA VANA ROUSSEFF,4576
2915106,DILMA VANA ROUSSEFF,4160
2915205,DILMA VANA ROUSSEFF,6005
2915304,DILMA VANA ROUSSEFF,1936
2915353,DILMA VANA ROUSSEFF,5373
2915403,DILMA VANA ROUSSEFF,2086
2915502,DILMA VANA ROUSSEFF,6873
2915601,DILMA VANA ROUSSEFF,15046
2915700,DILMA VANA ROUSSEFF,2678
2915809,DILMA VANA ROUSSEFF,7439
2915908,DILMA VANA ROUSSEFF,2086
2916005,DILMA VANA ROUSSEFF,7485
2916104,DILMA VANA ROUSSEFF,8104
2916203,DILMA VANA ROUSSEFF,3503
2916302,DILMA VANA ROUSSEFF,2880
2916401,DILMA VANA ROUSSEFF,15558
2916500,DILMA VANA ROUSSEFF,11292
2916609,DILMA VANA ROUSSEFF,3194
2916708,DILMA VANA ROUSSEFF,2879
2916807,DILMA VANA ROUSSEFF,5740
2916856,DILMA VANA ROUSSEFF,4038
2916906,DILMA VANA ROUSSEFF,3967
2917003,DILMA VANA ROUSSEFF,12399
2917102,DILMA VANA ROUSSEFF,5020
2917201,DILMA VANA ROUSSEFF,5029
2917300,DILMA VANA ROUSSEFF,7340
2917334,DILMA VANA ROUSSEFF,4266
2917359,DILMA VANA ROUSSEFF,3741
2917409,DILMA VANA ROUSSEFF,5288
2917508,DILMA VANA ROUSSEFF,27548
2917607,DILMA VANA ROUSSEFF,15258
2917706,DILMA VANA ROUSSEFF,10344
2917805,DILMA VANA ROUSSEFF,6034
2917904,DILMA VANA ROUSSEFF,3571
2918001,DILMA VANA ROUSSEFF,48342
2918100,DILMA VANA ROUSSEFF,14141
2918209,DILMA VANA ROUSSEFF,3983
